datetime;carbon_intensity[gCO₂eq/kWh];year;country_code
2000-01-01 00:00:00+00:00;249.99998;2000;AFG
2001-01-01 00:00:00+00:00;217.39131;2001;AFG
2002-01-01 00:00:00+00:00;169.01408;2002;AFG
2003-01-01 00:00:00+00:00;241.75824;2003;AFG
2004-01-01 00:00:00+00:00;227.84811;2004;AFG
2005-01-01 00:00:00+00:00;219.5122;2005;AFG
2006-01-01 00:00:00+00:00;255.55556;2006;AFG
2007-01-01 00:00:00+00:00;227.72278;2007;AFG
2008-01-01 00:00:00+00:00;256.41025;2008;AFG
2009-01-01 00:00:00+00:00;123.595505;2009;AFG
2010-01-01 00:00:00+00:00;147.72726;2010;AFG
2011-01-01 00:00:00+00:00;194.8052;2011;AFG
2012-01-01 00:00:00+00:00;147.72726;2012;AFG
2013-01-01 00:00:00+00:00;180.18018;2013;AFG
2014-01-01 00:00:00+00:00;129.31035;2014;AFG
2015-01-01 00:00:00+00:00;118.644066;2015;AFG
2016-01-01 00:00:00+00:00;115.702484;2016;AFG
2017-01-01 00:00:00+00:00;126.98412;2017;AFG
2018-01-01 00:00:00+00:00;153.84616;2018;AFG
2019-01-01 00:00:00+00:00;149.5327;2019;AFG
2020-01-01 00:00:00+00:00;125.0;2020;AFG
2021-01-01 00:00:00+00:00;132.53012;2021;AFG
2022-01-01 00:00:00+00:00;132.53012;2022;AFG
2000-01-01 00:00:00+00:00;48.625793;2000;ALB
2001-01-01 00:00:00+00:00;51.49051;2001;ALB
2002-01-01 00:00:00+00:00;61.994606;2002;ALB
2003-01-01 00:00:00+00:00;36.32887;2003;ALB
2004-01-01 00:00:00+00:00;39.639637;2004;ALB
2005-01-01 00:00:00+00:00;33.39518;2005;ALB
2006-01-01 00:00:00+00:00;35.714287;2006;ALB
2007-01-01 00:00:00+00:00;42.40283;2007;ALB
2008-01-01 00:00:00+00:00;23.936172;2008;ALB
2009-01-01 00:00:00+00:00;23.076921;2009;ALB
2010-01-01 00:00:00+00:00;23.778072;2010;ALB
2011-01-01 00:00:00+00:00;33.412888;2011;ALB
2012-01-01 00:00:00+00:00;23.305084;2012;ALB
2013-01-01 00:00:00+00:00;24.42529;2013;ALB
2014-01-01 00:00:00+00:00;23.305084;2014;ALB
2015-01-01 00:00:00+00:00;23.7691;2015;ALB
2016-01-01 00:00:00+00:00;23.136248;2016;ALB
2017-01-01 00:00:00+00:00;24.282558;2017;ALB
2018-01-01 00:00:00+00:00;23.391811;2018;ALB
2019-01-01 00:00:00+00:00;23.076921;2019;ALB
2020-01-01 00:00:00+00:00;24.482107;2020;ALB
2021-01-01 00:00:00+00:00;23.437498;2021;ALB
2022-01-01 00:00:00+00:00;24.285715;2022;ALB
2000-01-01 00:00:00+00:00;638.58264;2000;DZA
2001-01-01 00:00:00+00:00;638.2419;2001;DZA
2002-01-01 00:00:00+00:00;637.9747;2002;DZA
2003-01-01 00:00:00+00:00;634.0886;2003;DZA
2004-01-01 00:00:00+00:00;634.56;2004;DZA
2005-01-01 00:00:00+00:00;629.3129;2005;DZA
2006-01-01 00:00:00+00:00;635.8217;2006;DZA
2007-01-01 00:00:00+00:00;635.92365;2007;DZA
2008-01-01 00:00:00+00:00;635.34674;2008;DZA
2009-01-01 00:00:00+00:00;634.5455;2009;DZA
2010-01-01 00:00:00+00:00;636.99976;2010;DZA
2011-01-01 00:00:00+00:00;633.3463;2011;DZA
